Var1,Metadata_moa.x
BRD-A00993607,adrenergic receptor antagonist
BRD-A01078468,synthetic estrogen
BRD-A01295252,dopamine receptor ligand
BRD-A01636364,sodium channel blocker
BRD-A01643550,glucocorticoid receptor agonist
BRD-A01787639,adrenergic receptor antagonist
BRD-A02006392,calcium channel blocker
BRD-A02176148,mitochondrial complex i inhibitor
BRD-A02367930,estrogen receptor agonist|estrogenic component in oral contraceptives
BRD-A02710418,opioid receptor agonist
BRD-A02759312,adrenergic receptor antagonist
BRD-A03216249,potassium channel blocker|sodium channel blocker
BRD-A03623303,adrenergic receptor antagonist
BRD-A03932035,acetylcholine receptor antagonist
BRD-A04438777,dopamine receptor agonist
BRD-A04553218,histamine receptor antagonist
BRD-A04668240,gaba receptor antagonist
BRD-A05186015,dopamine uptake inhibitor
BRD-A05457250,l-type calcium channel activator
BRD-A06352418,histamine receptor antagonist
BRD-A06726973,cgmp analog
BRD-A06935312,bacterial 30s ribosomal subunit inhibitor
BRD-A07207424,phosphodiesterase inhibitor
BRD-A07440155,adrenergic receptor antagonist
BRD-A07824748,11-beta hydroxysteroid dehydrogenase inhibitor
BRD-A07932845,anti-hcve2
BRD-A07952294,farnesyltransferase inhibitor
BRD-A08187463,enkephalinase inhibitor
BRD-A08709697,pyrrolizidine alkaloid
BRD-A09056319,adrenergic receptor antagonist
BRD-A09062839,local anesthetic
BRD-A09467419,acetylcholine receptor antagonist
BRD-A09472452,sodium channel blocker
BRD-A09533288,calcium channel blocker
BRD-A09539288,acetylcholine receptor antagonist
BRD-A09925278,adrenergic receptor agonist
BRD-A10420615,atpase inhibitor
BRD-A10715913,dopamine receptor antagonist
BRD-A10977446,adrenergic receptor antagonist
BRD-A11605036,gaba receptor antagonist
BRD-A11776908,sterol demethylase inhibitor
BRD-A11813248,potassium channel blocker
BRD-A12016240,serotonin receptor antagonist
BRD-A13133631,glucocorticoid receptor agonist
BRD-A13650332,bacterial cell wall synthesis inhibitor
BRD-A13946108,cyclooxygenase inhibitor
BRD-A14395271,dopamine receptor antagonist
BRD-A15297126,glucocorticoid receptor agonist
BRD-A15909516,free radical scavenger
BRD-A16332958,adrenergic receptor agonist
BRD-A16665823,bacterial cell wall synthesis inhibitor
BRD-A17453586,serotonin receptor agonist
BRD-A17462676,adrenergic receptor agonist
BRD-A17535965,acetylcholine receptor antagonist
BRD-A17655518,cyclooxygenase inhibitor
BRD-A17819071,hsp inhibitor
BRD-A17846016,antioxidant
BRD-A18043272,succinimide antiepileptic
BRD-A18497530,adenosine kinase inhibitor|nucleoside transporter inhibitor
BRD-A18579359,neural wiskott-aldrich syndrome protein inhibitor
BRD-A18620900,estrogen receptor agonist
BRD-A18917088,estrogen receptor agonist
BRD-A19053259,anthelmintic
BRD-A19195498,norepinephrine reuptake inhibitor|tricyclic antidepressant
BRD-A19661776,serotonin receptor antagonist
BRD-A19736161,serotonin receptor antagonist
BRD-A19795905,mitochondrial electron transport inhibitor
BRD-A20126139,glucocorticoid receptor agonist
BRD-A20200672,gap junction modulator
BRD-A20239487,adrenergic receptor antagonist
BRD-A20348246,gaba receptor modulator
BRD-A21858158,anthelmintic
BRD-A22032524,calcium channel blocker
BRD-A22081593,adenosine receptor antagonist
BRD-A22143024,estrogen receptor agonist
BRD-A22256192,adrenergic receptor antagonist
BRD-A22305049,gluconeogenesis inhibitor
BRD-A22380646,atpase inhibitor
BRD-A22684332,adrenergic receptor agonist
BRD-A22769835,antihistamine
BRD-A22844106,cyclooxygenase inhibitor
BRD-A23034328,protein synthesis inhibitor
BRD-A23072235,histamine receptor antagonist
BRD-A23226398,estrogen receptor agonist
BRD-A24122750,gaba receptor antagonist
BRD-A24191444,adrenergic receptor antagonist|glutamate receptor antagonist
BRD-A24228527,bacterial dna gyrase inhibitor
BRD-A24514565,vitamin k antagonist
BRD-A24587114,adrenergic receptor agonist
BRD-A24817035,central nervous system
BRD-A25234499,glucocorticoid receptor antagonist
BRD-A26095496,glucocorticoid receptor agonist
BRD-A26334849,antiarrhythmic
BRD-A26384407,carbonic anhydrase inhibitor
BRD-A26711594,calcium channel blocker
BRD-A27732521,sodium channel blocker
BRD-A27887842,glucocorticoid receptor agonist
BRD-A28856712,adrenergic receptor agonist
BRD-A28970875,protein synthesis inhibitor
BRD-A29082194,atpase inhibitor
BRD-A29260609,adrenergic receptor antagonist
BRD-A29289453,platelet activating factor receptor antagonist
BRD-A29322418,mineralocorticoid receptor antagonist
BRD-A29426959,histamine receptor antagonist
BRD-A29644307,dopamine uptake inhibitor
BRD-A29731977,progesterone receptor agonist
BRD-A29734509,sodium channel blocker
BRD-A30655177,btk inhibitor
BRD-A30815329,calcium channel blocker
BRD-A31159102,selective serotonin reuptake inhibitor (ssri)
BRD-A31521121,muscle relaxant
BRD-A32505112,angiotensin converting enzyme inhibitor
BRD-A32673558,acetylcholine receptor agonist
BRD-A33168282,adrenergic receptor antagonist
BRD-A33280134,topoisomerase inhibitor
BRD-A33447119,anthelmintic
BRD-A33711280,acetylcholine receptor antagonist
BRD-A33749298,cyclooxygenase inhibitor
BRD-A34255068,phosphodiesterase inhibitor
BRD-A34806832,atpase inhibitor
BRD-A35588707,topoisomerase inhibitor
BRD-A35623999,mitochondrial na+/ca2+ exchanger antagonist|sodium/calcium exchange inhibitor
BRD-A35989968,progesterone receptor agonist
BRD-A36010170,glucocorticoid receptor agonist
BRD-A36066264,estrogen receptor agonist
BRD-A36217750,uricosuric blocker
BRD-A36471396,acetylcholine receptor antagonist
BRD-A37432947,acetylcholine receptor antagonist
BRD-A37441042,adrenergic receptor agonist
BRD-A37817666,gaba receptor antagonist
BRD-A37959677,estrogen receptor agonist|estrogenic hormone
BRD-A38076815,deltaf508-cftr correctors
BRD-A38350138,sterol demethylase inhibitor
BRD-A39230911,muscle relaxant
BRD-A39268308,acetylcholine receptor agonist
BRD-A39290993,androgen receptor antagonist
BRD-A39415247,progesterone receptor agonist
BRD-A39747742,estrogen receptor agonist
BRD-A40787240,bacterial dna gyrase inhibitor
BRD-A41145729,retinoid receptor agonist
BRD-A41250306,thiazide diuretic
BRD-A41301928,"mitochondrial adp, atp translocase inhibitor"
BRD-A41304429,adrenergic receptor antagonist
BRD-A41451487,benzodiazepine receptor antagonist
BRD-A41519720,cholesterol inhibitor|niemann-pick c1-like 1 protein antagonist
BRD-A41698174,bacterial cell wall synthesis inhibitor
BRD-A41941932,antioxidant
BRD-A41995253,glycine receptor antagonist
BRD-A42167015,adrenergic receptor antagonist
BRD-A42571354,histamine receptor antagonist
BRD-A42628519,radiopaque medium
BRD-A42759514,antiprotozoal
BRD-A42831637,anti-inflammatory|cannabinoid metabolite
BRD-A43671941,adrenergic receptor antagonist
BRD-A43849199,phytotoxin
BRD-A43882281,atp channel activator|potassium channel activator
BRD-A43940795,serotonin release inhibitor
BRD-A43974575,monoamine oxidase inhibitor
BRD-A43999749,acetylcholine receptor antagonist
BRD-A44008656,histamine receptor antagonist
BRD-A44133049,serotonin receptor antagonist
BRD-A44863528,cck receptor antagonist
BRD-A44966919,acetylcholine receptor antagonist
BRD-A45889380,cytokine production inhibitor|nfkb pathway inhibitor|tp53 activator
BRD-A46393198,immunostimulant
BRD-A47494775,adrenergic receptor agonist
BRD-A47513740,protein phosphatase inhibitor
BRD-A48237631,dna alkylating|dna synthesis inhibitor
BRD-A48430263,insulin sensitizer|ppar receptor agonist
BRD-A48720949,androgen receptor agonist
BRD-A48809242,adenosine receptor agonist
BRD-A49046702,gaba uptake inhibitor
BRD-A49172652,atpase inhibitor
BRD-A49358627,ppar receptor agonist
BRD-A49734948,plant alkaloid
BRD-A49765801,glucocorticoid receptor agonist
BRD-A49906757,acetylcholine receptor antagonist
BRD-A50157456,adrenergic receptor agonist
BRD-A50311610,car agonist
BRD-A50675702,chloride channel blocker|gaba gated chloride channel blocker
BRD-A50684349,dopamine receptor agonist
BRD-A50764878,serotonin receptor antagonist
BRD-A51714012,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin reuptake inhibitor
BRD-A51820102,lanosterol demethylase inhibitor|sterol demethylase inhibitor
BRD-A51829654,serotonin receptor antagonist
BRD-A52922642,l-type calcium channel blocker
BRD-A53176877,glucocorticoid receptor agonist
BRD-A53952395,local anesthetic
BRD-A54236247,adrenergic receptor agonist
BRD-A54490543,monoamine oxidase inhibitor
BRD-A55272860,dopamine receptor antagonist
BRD-A55393291,androgen receptor agonist
BRD-A55579717,acetylcholine receptor agonist
BRD-A55756846,pka inhibitor
BRD-A55946879,lipoxygenase inhibitor
BRD-A55962179,atpase inhibitor
BRD-A56020723,cathepsin inhibitor|antiamyloidogenic
BRD-A56675431,diuretic
BRD-A58048407,calcium channel blocker
BRD-A59174698,adrenergic receptor agonist
BRD-A59215453,acetylcholine receptor antagonist
BRD-A59303141,thiazide diuretic
BRD-A61154809,atp channel blocker|insulin secretagogue
BRD-A61221616,progesterone receptor agonist
BRD-A61793559,carbonic anhydrase inhibitor
BRD-A62071884,phosphodiesterase inhibitor
BRD-A62428732,antihistamine
BRD-A62525898,glucocorticoid receptor agonist
BRD-A63894585,glucocorticoid receptor agonist
BRD-A64092382,sodium channel blocker
BRD-A64485570,dna polymerase inhibitor|thymidylate synthase inhibitor
BRD-A64553394,sodium channel activator
BRD-A65013509,acetylcholine receptor antagonist
BRD-A65051990,vitamin k antagonist
BRD-A65076780,adrenergic receptor antagonist|prolactin inhibitor
BRD-A65280694,dopamine receptor antagonist
BRD-A65440446,adrenergic receptor agonist
BRD-A65449987,cytochrome p450 inhibitor
BRD-A65671304,angiotensin receptor antagonist
