well_position	gene_name	pert_name	broad_sample	cell_line	ASSAY_WELL_ROLE	GeneID	plate_map_name
a01	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
a02	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
a03	ATF4	ATF4_WT.1	ccsbBroad304_00117	U2OS	Treated	468	TAORF_REFERENCE_SET
a04	TSC2	TSC2_WT	ccsbBroad304_07101	U2OS	Treated	7249	TAORF_REFERENCE_SET
a05	BAX	BAX_WT	ccsbBroad304_00150	U2OS	Treated	581	TAORF_REFERENCE_SET
a06	VEGFC	VEGFC_WT.1	ccsbBroad304_07127	U2OS	Treated	7424	TAORF_REFERENCE_SET
a07	CCND1	CCND1_WT.1	ccsbBroad304_00155	U2OS	Treated	595	TAORF_REFERENCE_SET
a08	VHL	VHL_WT.1	ccsbBroad304_07128	U2OS	Treated	7428	TAORF_REFERENCE_SET
a09	BMPR1B	BMPR1B_WT.1	ccsbBroad304_00168	U2OS	Treated	658	TAORF_REFERENCE_SET
a10	AXIN2	AXIN2_WT.1	ccsbBroad304_07217	U2OS	Treated	8313	TAORF_REFERENCE_SET
a11	BRCA1	BRCA1_WT	ccsbBroad304_00173	U2OS	Treated	672	TAORF_REFERENCE_SET
a12	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
a13	CASP9	CASP9_WT	ccsbBroad304_00223	U2OS	Treated	842	TAORF_REFERENCE_SET
a14	AKT3	AKT3_WT.1	ccsbBroad304_07529	U2OS	Treated	10000	TAORF_REFERENCE_SET
a15	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
a16	TBK1	TBK1_WT.1	ccsbBroad304_08116	U2OS	Treated	29110	TAORF_REFERENCE_SET
a17	CDK2	CDK2_WT.1	ccsbBroad304_00276	U2OS	Treated	1017	TAORF_REFERENCE_SET
a18	IRAK4	IRAK4_WT	ccsbBroad304_08230	U2OS	Treated	51135	TAORF_REFERENCE_SET
a19	CDK4	CDK4_WT.1	ccsbBroad304_00277	U2OS	Treated	1019	TAORF_REFERENCE_SET
a20	ATM	ATM_WT.1	ccsbBroad304_10688	U2OS	Treated	472	TAORF_REFERENCE_SET
