,Var1,Metadata_moa.x,Metadata_Plate_Map_Name.x
0,BRD-A00100033-001-04-8,DNA inhibitor,H-BIOA-001-3
1,BRD-A00267231-001-01-1,Adenosine receptor agonist,H-BIOA-001-3
2,BRD-A00520476-001-03-3,Acetylcholine receptor antagonist,H-BIOA-001-3
3,BRD-A00993607-003-04-8,Adrenergic receptor antagonist,H-BIOA-001-3
4,BRD-A01078468-001-04-9,synthetic estrogen,H-BIOA-001-3
5,BRD-A01295252-001-01-5,Dopamine receptor ligand,H-BIOA-001-3
6,BRD-A01320529-001-05-9,adrenergic receptor agonist,H-BIOA-001-3
7,BRD-A01593789-001-01-5,5 alpha reductase inhibitor,H-BIOA-001-3
8,BRD-A01636364-003-04-5,sodium channel blocker,H-BIOA-001-3
9,BRD-A01787639-003-08-6,adrenergic receptor antagonist,H-BIOA-001-3
10,BRD-A02006392-001-06-5,calcium channel blocker,H-BIOA-001-3
11,BRD-A02176148-001-02-2,Mitochondrial complex I inhibitor,H-BIOA-001-3
12,BRD-A02710418-003-03-5,opioid receptor agonist,H-BIOA-001-3
13,BRD-A02713983-001-02-0,growth factor receptor activator,H-BIOA-001-3
14,BRD-A02759312-003-11-2,Adrenergic receptor antagonist,H-BIOA-001-3
15,BRD-A03216249-003-02-9,Potassium channel blocker,H-BIOA-001-3
16,BRD-A03359064-001-01-5,Adrenergic receptor antagonist,H-BIOA-001-3
17,BRD-A03623303-045-02-0,Adrenergic receptor antagonist,H-BIOA-001-3
18,BRD-A03816571-001-01-0,cannabinoid receptor agonist|CC chemokine receptor antagonist,H-BIOA-001-3
19,BRD-A04322457-003-03-9,adrenergic receptor agonist,H-BIOA-001-3
20,BRD-A04438777-001-01-4,dopamine receptor agonist,H-BIOA-001-3
21,BRD-A04553218-050-03-0,histamine receptor antagonist,H-BIOA-001-3
22,BRD-A04668240-001-01-5,GABA receptor antagonist,H-BIOA-001-3
23,BRD-A04706586-236-01-7,Adenosine receptor agonist,H-BIOA-001-3
24,BRD-A05186015-003-04-0,dopamine uptake inhibitor,H-BIOA-001-3
25,BRD-A06352418-001-03-6,Histamine receptor antagonist,H-BIOA-001-3
26,BRD-A06352508-001-02-9,CHK inhibitor,H-BIOA-001-3
27,BRD-A06390036-001-02-0,Antiarrhythmic,H-BIOA-001-3
28,BRD-A06726973-001-02-0,cGMP analog,H-BIOA-001-3
29,BRD-A06935312-001-02-7,bacterial 30S ribosomal subunit inhibitor,H-BIOA-001-3
30,BRD-A07207424-001-04-1,phosphodiesterase inhibitor,H-BIOA-001-3
31,BRD-A07440155-003-04-9,Adrenergic receptor antagonist,H-BIOA-001-3
32,BRD-A07780951-001-02-2,Adrenergic receptor agonist,H-BIOA-001-3
33,BRD-A07824748-001-02-6,11-beta hydroxysteroid dehydrogenase inhibitor,H-BIOA-001-3
34,BRD-A07875874-001-01-6,calcium channel blocker,H-BIOA-001-3
35,BRD-A07932845-001-01-1,anti-HCVE2,H-BIOA-001-3
36,BRD-A07952294-001-02-3,farnesyltransferase inhibitors,H-BIOA-001-3
37,BRD-A08187463-001-03-8,enkephalinase inhibitor,H-BIOA-001-3
38,BRD-A08709697-001-02-9,pyrrolizidine alkaloid,H-BIOA-001-3
39,BRD-A08877921-001-02-2,Protein synthesis inhibitor,H-BIOA-001-3
40,BRD-A09056319-003-03-6,Adrenergic receptor antagonist,H-BIOA-001-3
41,BRD-A09062839-003-03-5,Local anesthetic,H-BIOA-001-3
42,BRD-A09094913-001-02-3,acetylcholine receptor antagonist,H-BIOA-001-3
43,BRD-A09161221-001-01-9,HSP inhibitor,H-BIOA-001-3
44,BRD-A09349126-001-02-4,progesterone receptor agonist,H-BIOA-001-3
45,BRD-A09467419-003-04-2,acetylcholine receptor antagonist,H-BIOA-001-3
46,BRD-A09472452-001-02-8,Sodium channel blocker,H-BIOA-001-3
47,BRD-A09533288-001-02-7,calcium channel blocker,H-BIOA-001-3
48,BRD-A09539288-004-02-8,Acetylcholine receptor antagonist,H-BIOA-001-3
49,BRD-A09828896-004-04-5,Dopamine receptor agonist,H-BIOA-001-3
50,BRD-A09925278-003-03-1,Adrenergic receptor agonist,H-BIOA-001-3
51,BRD-A10070317-003-05-1,adrenergic receptor antagonist,H-BIOA-001-3
52,BRD-A10355991-003-01-8,Glutamate receptor antagonist,H-BIOA-001-3
53,BRD-A10715913-001-02-0,Dopamine receptor antagonist,H-BIOA-001-3
54,BRD-A10739734-003-01-5,adrenergic receptor antagonist,H-BIOA-001-3
55,BRD-A10903566-003-02-8,Adrenergic receptor antagonist,H-BIOA-001-3
56,BRD-A10969569-001-02-0,Plant alkaloid,H-BIOA-001-3
57,BRD-A10977446-001-04-8,Adrenergic receptor antagonist,H-BIOA-001-3
58,BRD-A11605036-001-03-2,GABA receptor antagonist,H-BIOA-001-3
59,BRD-A11609859-303-01-2,opioid receptor agonist,H-BIOA-001-3
60,BRD-A11678676-001-02-6,PI3K inhibitor,H-BIOA-001-3
61,BRD-A11813248-001-02-8,Potassium channel blocker,H-BIOA-001-3
62,BRD-A12016240-001-01-7,Serotonin receptor antagonist,H-BIOA-001-3
63,BRD-A13188892-066-03-3,Adrenergic receptor antagonist,H-BIOA-001-3
64,BRD-A13650332-236-03-9,Bacterial cell wall synthesis inhibitor,H-BIOA-001-3
