UMAP 1,UMAP 2,index,Metadata_SMILES,Metadata_BROAD_ID,Scaffold,Var1,Metadata_moa.x
7.2176247,7.749367,0,CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O,BRD-A00100033,O=S1(=O)CCN(N=Cc2ccco2)CC1,BRD-A00100033,dna inhibitor
12.182125,5.3409286,1,CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1,BRD-A00267231,c1ncc2ncn(C3CCCO3)c2n1,BRD-A00267231,adenosine receptor agonist
9.270291,7.5126376,2,CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12,BRD-A00520476,O=C1Nc2cccnc2N(C(=O)CN2CCCCC2)c2ccccc21,BRD-A00520476,acetylcholine receptor antagonist
4.2006516,6.901685,3,CC(C)NCC(O)COc1ccccc1CC=C,BRD-A00993607,c1ccccc1,BRD-A00993607,adrenergic receptor antagonist
6.6645417,9.388973,4,CCC(C(CC)c1ccc(O)cc1)c1ccc(O)cc1,BRD-A01078468,c1ccc(CCc2ccccc2)cc1,BRD-A01078468,synthetic estrogen
6.091402,7.8279166,5,CCCN(C\C=C\I)C1CCc2ccc(O)cc2C1,BRD-A01295252,c1ccc2c(c1)CCCC2,BRD-A01295252,dopamine receptor ligand
7.6249313,11.087699,6,OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1,BRD-A01320529,c1ccc(CCCCOCCCCCCNCCc2ccccc2)cc1,BRD-A01320529,adrenergic receptor agonist
3.6577356,9.41015,7,CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,BRD-A01593789,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,BRD-A01593789,5 alpha reductase inhibitor
8.763025,10.450693,8,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,BRD-A01636364,O=C(Nc1ccccc1)C1CCCCN1,BRD-A01636364,sodium channel blocker
4.2470655,6.8775578,9,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,BRD-A01787639,c1ccc(N2CCN(CCCOc3cccc4ccccc34)CC2)cc1,BRD-A01787639,adrenergic receptor antagonist
